"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 16:31:45 CDT 2022","Sat Jul 02 16:31:45 CDT 2022","390","","eComerce","","eComerce","crear_direccion","crear_direccion()",""
"passed","Sat Jul 02 16:31:38 CDT 2022","Sat Jul 02 16:31:39 CDT 2022","955","","eComerce","","eComerce","obtener_Token_usando_header_authorization","Test case: Vaidar que se desplieguen todas las categoras",""
"passed","Sat Jul 02 16:31:49 CDT 2022","Sat Jul 02 16:31:50 CDT 2022","793","","eComerce","","eComerce","ver_anuncios_pendientes","ver_anuncios_pendientes()",""
"passed","Sat Jul 02 16:31:42 CDT 2022","Sat Jul 02 16:31:43 CDT 2022","827","","eComerce","","eComerce","editar_info_usuario","editar_info_usuario()",""
"passed","Sat Jul 02 16:31:32 CDT 2022","Sat Jul 02 16:31:38 CDT 2022","6471","","eComerce","","eComerce","obtener_categorias","Test case: Vaidar que se desplieguen todas las categoras",""
"passed","Sat Jul 02 16:31:45 CDT 2022","Sat Jul 02 16:31:49 CDT 2022","3668","","eComerce","","eComerce","crear_anuncio","crear_anuncio()",""
"passed","Sat Jul 02 16:31:39 CDT 2022","Sat Jul 02 16:31:42 CDT 2022","2770","","eComerce","","eComerce","obtener_token_usando_auth_emil_pass","obtener_token_usando_auth_emil_pass()",""
"passed","Sat Jul 02 16:31:44 CDT 2022","Sat Jul 02 16:31:45 CDT 2022","875","","eComerce","","eComerce","update_telefono","update_telefono()",""
"passed","Sat Jul 02 16:31:43 CDT 2022","Sat Jul 02 16:31:44 CDT 2022","1123","","eComerce","","eComerce","crear_usuario_nuevo","crear_usuario_nuevo()",""
"passed","Sat Jul 02 16:31:45 CDT 2022","Sat Jul 02 16:31:45 CDT 2022","354","","eComerce","","eComerce","borrar_direccion","borrar_direccion()",""
